AirportCode,AirportName,City,AdministrativeDivision,Country
WOE,Woensdrecht Air Base,Woensdrecht,,Netherlands
ORK,Cork Airport,Cork,,Ireland
GWY,Galway Airport,Galway,,Ireland
DUB,Dublin Airport,Dublin,,Ireland
NOC,Ireland West Knock Airport,Connaught,,Ireland
KIR,Kerry Airport,Kerry,,Ireland
SNN,Shannon Airport,Shannon,,Ireland
SXL,Sligo Airport,Sligo,,Ireland
WAT,Waterford Airport,Waterford,,Ireland
AAR,Aarhus Airport,Aarhus,,Denmark
BLL,Billund Airport,Billund,,Denmark
CPH,Copenhagen Kastrup Airport,Copenhagen,,Denmark
EBJ,Esbjerg Airport,Esbjerg,,Denmark
KRP,Karup Airport,Karup,,Denmark
BYR,Læsø Airport,Laeso,,Denmark
MRW,Lolland Falster Maribo Airport,Maribo,,Denmark
ODE,Odense Airport,Odense,,Denmark
RKE,Copenhagen Roskilde Airport,Copenhagen,,Denmark
RNN,Bornholm Airport,Ronne,,Denmark
SGD,Sønderborg Airport,Soenderborg,,Denmark
SKS,Skrydstrup Air Base,Skrydstrup,,Denmark
SQW,Skive Airport,Skive,,Denmark
TED,Thisted Airport,Thisted,,Denmark
FAE,Vagar Airport,Vagar,,Faroe Islands
STA,Stauning Airport,Stauning,,Denmark
AAL,Aalborg Airport,Aalborg,,Denmark
LUX,Luxembourg-Findel International Airport,Luxemburg,,Luxembourg
AES,Ålesund Airport,Alesund,,Norway
ANX,Andøya Airport,Andoya,,Norway
ALF,Alta Airport,Alta,,Norway
BNN,Brønnøysund Airport,Bronnoysund,,Norway
BOO,Bodø Airport,Bodo,,Norway
BGO,Bergen Airport Flesland,Bergen,,Norway
BJF,Båtsfjord Airport,Batsfjord,,Norway
KRS,Kristiansand Airport,Kristiansand,,Norway
DLD,Geilo Airport Dagali,Geilo,,Norway
BDU,Bardufoss Airport,Bardufoss,,Norway
EVE,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,,Norway
VDB,Leirin Airport,Fagernes,,Norway
FRO,Florø Airport,Floro,,Norway
OSL,Oslo Lufthavn,Oslo,,Norway
HAU,Haugesund Airport,Haugesund,,Norway
HAA,Hasvik Airport,Hasvik,,Norway
KSU,Kristiansund Airport (Kvernberget),Kristiansund,,Norway
KKN,Kirkenes Airport (Høybuktmoen),Kirkenes,,Norway
FAN,Lista Airport,Farsund,,Norway
MOL,Molde Airport,Molde,,Norway
MJF,Mosjøen Airport (Kjærstad),Mosjoen,,Norway
LKL,Banak Airport,Lakselv,,Norway
NTB,Notodden Airport,Notodden,,Norway
OLA,Ørland Airport,Orland,,Norway
RRS,Røros Airport,Roros,,Norway
RYG,"Moss Airport, Rygge",Rygge,,Norway
LYR,"Svalbard Airport, Longyear",Svalbard,,Norway
SKE,Skien Airport,Skien,,Norway
SRP,Stord Airport,Stord,,Norway
SSJ,Sandnessjøen Airport (Stokka),Sandnessjoen,,Norway
TOS,"Tromsø Airport,",Tromso,,Norway
TRF,"Sandefjord Airport, Torp",Sandefjord,,Norway
TRD,Trondheim Airport Værnes,Trondheim,,Norway
SVG,Stavanger Airport Sola,Stavanger,,Norway
GDN,Gdańsk Lech Wałęsa Airport,Gdansk,,Poland
KRK,Kraków John Paul II International Airport,Krakow,,Poland
KTW,Katowice International Airport,Katowice,,Poland
POZ,Poznań-Ławica Airport,Poznan,,Poland
RZE,Rzeszów-Jasionka Airport,Rzeszow,,Poland
SZZ,"Szczecin-Goleniów ""Solidarność"" Airport",Szczecin,,Poland
OSP,Redzikowo Air Base,Slupsk,,Poland
WAW,Warsaw Chopin Airport,Warsaw,,Poland
WRO,Copernicus Wrocław Airport,Wroclaw,,Poland
IEG,Zielona Góra-Babimost Airport,Zielona Gora,,Poland
RNB,Ronneby Airport,Ronneby,,Sweden
GOT,Gothenburg-Landvetter Airport,Gothenborg,,Sweden
JKG,Jönköping Airport,Joenkoeping,,Sweden
LDK,Lidköping-Hovby Airport,Lidkoping,,Sweden
GSE,Gothenburg City Airport,Gothenborg,,Sweden
KVB,Skövde Airport,Skovde,,Sweden
THN,Trollhättan-Vänersborg Airport,Trollhattan,,Sweden
KSK,Karlskoga Airport,Karlskoga,,Sweden
MXX,Mora Airport,Mora,,Sweden
NYO,Stockholm Skavsta Airport,Stockholm,,Sweden
KID,Kristianstad Airport,Kristianstad,,Sweden
OSK,Oskarshamn Airport,Oskarshamn,,Sweden
KLR,Kalmar Airport,Kalkmar,,Sweden
MMX,Malmö Sturup Airport,Malmoe,,Sweden
HAD,Halmstad Airport,Halmstad,,Sweden
VXO,Växjö Kronoberg Airport,Vaxjo,,Sweden
EVG,Sveg Airport,Sveg,,Sweden
GEV,Gällivare Airport,Gallivare,,Sweden
HUV,Hudiksvall Airport,Hudiksvall,,Sweden
KRF,Kramfors Sollefteå Airport,Kramfors,,Sweden
LYC,Lycksele Airport,Lycksele,,Sweden
SDL,Sundsvall-Härnösand Airport,Sundsvall,,Sweden
OER,Örnsköldsvik Airport,Ornskoldsvik,,Sweden
KRN,Kiruna Airport,Kiruna,,Sweden
SFT,Skellefteå Airport,Skelleftea,,Sweden
UME,Umeå Airport,Umea,,Sweden
VHM,Vilhelmina Airport,Vilhelmina,,Sweden
AJR,Arvidsjaur Airport,Arvidsjaur,,Sweden
ORB,Örebro Airport,Orebro,,Sweden
VST,Stockholm Västerås Airport,Vasteras,,Sweden
LLA,Luleå Airport,Lulea,,Sweden
ARN,Stockholm-Arlanda Airport,Stockholm,,Sweden
BMA,Stockholm-Bromma Airport,Stockholm,,Sweden
BLE,Borlange Airport,Borlange,,Sweden
HLF,Hultsfred Airport,Hultsfred,,Sweden
GVX,Gävle Sandviken Airport,Gavle,,Sweden
LPI,Linköping City Airport,Linkoeping,,Sweden
NRK,Norrköping Airport,Norrkoeping,,Sweden
EKT,Eskilstuna Airport,Eskilstuna,,Sweden
VBY,Visby Airport,Visby,,Sweden
SPM,Spangdahlem Air Base,Spangdahlem,,Germany
RMS,Ramstein Air Base,Ramstein,,Germany
GHF,[Duplicate] Giebelstadt Army Air Field,Giebelstadt,,Germany
ZCN,Celle Airport,Celle,,Germany
FRZ,Fritzlar Airport,Fritzlar,,Germany
ZNF,Hanau Army Air Field,Hanau,,Germany
KZG,Flugplatz Kitzingen,Kitzingen,,Germany
FCN,Nordholz Naval Airbase,Nordholz,,Germany
GKE,Geilenkirchen Air Base,Geilenkirchen,,Germany
RLG,Rostock-Laage Airport,Laage,,Germany
WBG,Schleswig Air Base,Schleswig,,Germany
WIE,Wiesbaden Army Airfield,Wiesbaden,,Germany
FEL,Fürstenfeldbruck Air Base,Fuerstenfeldbruck,,Germany
IGS,Ingolstadt Manching Airport,Ingolstadt,,Germany
GUT,Gütersloh Air Base,Guetersloh,,Germany
ALJ,Alexander Bay Airport,Alexander Bay,,South Africa
AGZ,Aggeneys Airport,Aggeneys,,South Africa
BIY,Bisho Airport,Bisho,,South Africa
BFN,Bram Fischer International Airport,Bloemfontein,,South Africa
CPT,Cape Town International Airport,Cape Town,,South Africa
DUR,King Shaka International Airport,Durban,,South Africa
ELS,Ben Schoeman Airport,East London,,South Africa
FCB,Ficksburg Sentraoes Airport,Ficksburg,,South Africa
GCJ,Grand Central Airport,Johannesburg,,South Africa
GRJ,George Airport,George,,South Africa
HRS,Harrismith Airport,Harrismith,,South Africa
HDS,Hoedspruit Air Force Base Airport,Hoedspruit,Transvaal,South Africa
JNB,OR Tambo International Airport,Johannesburg,,South Africa
KXE,P C Pelser Airport,Klerksdorp,,South Africa
KIM,Kimberley Airport,Kimberley,,South Africa
KMH,Johan Pienaar Airport,Kuruman,,South Africa
KLZ,Kleinsee Airport,Kleinsee,,South Africa
HLA,Lanseria Airport,Johannesburg,,South Africa
SDB,Langebaanweg Airport,Langebaanweg,,South Africa
LAY,Ladysmith Airport,Ladysmith,,South Africa
MGH,Margate Airport,Margate,,South Africa
LLE,Riverside Airport,Malalane,,South Africa
MZQ,Mkuze Airport,Mkuze,,South Africa
NCS,Newcastle Airport,Newcastle,,South Africa
OVG,Overberg Airport,Overberg,,South Africa
OUH,Oudtshoorn Airport,Oudtshoorn,,South Africa
PLZ,Port Elizabeth Airport,Port Elizabeth,,South Africa
PBZ,Plettenberg Bay Airport,Plettenberg Bay,,South Africa
PHW,Hendrik Van Eck Airport,Phalaborwa,,South Africa
JOH,Port St Johns Airport,Port Saint Johns,,South Africa
PZB,Pietermaritzburg Airport,Pietermaritzburg,,South Africa
NTY,Pilanesberg International Airport,Pilanesberg,,South Africa
PTG,Polokwane International Airport,Potgietersrus,,South Africa
PCF,Potchefstroom Airport,Potchefstroom,,South Africa
UTW,Queenstown Airport,Queenstown,,South Africa
RCB,Richards Bay Airport,Richard's Bay,,South Africa
ROD,Robertson Airport,Robertson,,South Africa
SBU,Springbok Airport,Springbok,,South Africa
ZEC,Secunda Airport,Secunda,,South Africa
SIS,Sishen Airport,Sishen,,South Africa
SZK,Skukuza Airport,Skukuza,,South Africa
LTA,Tzaneen Airport,Tzaneen,,South Africa
ULD,Prince Mangosuthu Buthelezi Airport,Ulundi,,South Africa
UTN,Pierre Van Ryneveld Airport,Upington,,South Africa
UTT,K. D. Matanzima Airport,Umtata,,South Africa
VRU,Vryburg Airport,Vryburg,,South Africa
VIR,Virginia Airport,Durban,,South Africa
VRE,Vredendal Airport,Vredendal,,South Africa
PRY,Wonderboom Airport,Pretoria,,South Africa
WKF,Waterkloof Air Force Base,Waterkloof,,South Africa
FRW,Francistown Airport,Francistown,,Botswana
JWA,Jwaneng Airport,Jwaneng,,Botswana
BBK,Kasane Airport,Kasane,,Botswana
MUB,Maun Airport,Maun,,Botswana
GBE,Sir Seretse Khama International Airport,Gaberone,,Botswana
PKW,Selebi Phikwe Airport,Selebi-phikwe,,Botswana
BZV,Maya-Maya Airport,Brazzaville,,Congo (Brazzaville)
FTX,Owando Airport,Owando,,Congo (Kinshasa)
OUE,Ouesso Airport,Ouesso,,Congo (Kinshasa)
PNR,Pointe Noire Airport,Pointe-noire,,Congo (Brazzaville)
MTS,Matsapha Airport,Manzini,,Swaziland
BGF,Bangui M'Poko International Airport,Bangui,,Central African Republic
BBT,Berbérati Airport,Berberati,,Central African Republic
BSG,Bata Airport,Bata,,Equatorial Guinea
SSG,Malabo Airport,Malabo,,Equatorial Guinea
ASI,RAF Ascension Island,Wide Awake,,Saint Helena
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaisance,,Mauritius
RRG,Sir Charles Gaetan Duval Airport,Rodriguez Island,,Mauritius
NKW,Diego Garcia Naval Support Facility,Diego Garcia Island,,British Indian Ocean Territory
TKC,Tiko Airport,Tiko,,Cameroon
DLA,Douala International Airport,Douala,,Cameroon
MVR,Salak Airport,Maroua,,Cameroon
FOM,Foumban Nkounja Airport,Foumban,,Cameroon
NGE,N'Gaoundéré Airport,N'gaoundere,,Cameroon
GOU,Garoua International Airport,Garoua,,Cameroon
BFX,Bafoussam Airport,Bafoussam,,Cameroon
BPC,Bamenda Airport,Bamenda,,Cameroon
YAO,Yaoundé Airport,Yaounde,,Cameroon
CGJ,Kasompe Airport,Kasompe,,Zambia
LVI,Livingstone Airport,Livingstone,,Zambia
LUN,Kenneth Kaunda International Airport Lusaka,Lusaka,,Zambia
MFU,Mfuwe Airport,Mfuwe,,Zambia
MNR,Mongu Airport,Mongu,,Zambia
NLA,Simon Mwansa Kapwepwe International Airport,Ndola,,Zambia
KIW,Southdowns Airport,Southdowns,,Zambia
HAH,Prince Said Ibrahim International Airport,Moroni,,Comoros
NWA,Mohéli Bandar Es Eslam Airport,Moheli,,Comoros
AJN,Ouani Airport,Anjouan,,Comoros
DZA,Dzaoudzi Pamandzi International Airport,Dzaoudzi,,Mayotte
RUN,Roland Garros Airport,St.-denis,,Reunion
ZSE,Pierrefonds Airport,St.-pierre,,Reunion
TNR,Ivato Airport,Antananarivo,,Madagascar
ZVA,Miandrivazo Airport,Miandrivazo,,Madagascar
SMS,Sainte Marie Airport,Sainte Marie,,Madagascar
TMM,Toamasina Airport,Toamasina,,Madagascar
MOQ,Morondava Airport,Morondava,,Madagascar
DIE,Arrachart Airport,Antsiranana,,Madagascar
WMR,Mananara Nord Airport,Mananara,,Madagascar
ZWA,Andapa Airport,Andapa,,Madagascar
AMB,Ambilobe Airport,Ambilobe,,Madagascar
ANM,Antsirabato Airport,Antalaha,,Madagascar
HVA,Analalava Airport,Analalava,,Madagascar
MJN,Amborovy Airport,Mahajanga,,Madagascar
NOS,Fascene Airport,Nosy-be,,Madagascar
BPY,Besalampy Airport,Besalampy,,Madagascar
WMN,Maroantsetra Airport,Maroantsetra,,Madagascar
SVB,Sambava Airport,Sambava,,Madagascar
VOH,Vohimarina Airport,Vohemar,,Madagascar
WAI,Ambalabe Airport,Antsohihy,,Madagascar
IVA,Ampampamena Airport,Ampampamena,,Madagascar
FTU,Tôlanaro Airport,Tolagnaro,,Madagascar
WFI,Fianarantsoa Airport,Fianarantsoa,,Madagascar
RVA,Farafangana Airport,Farafangana,,Madagascar
WVK,Manakara Airport,Manakara,,Madagascar
MNJ,Mananjary Airport,Mananjary,,Madagascar
MXM,Morombe Airport,Morombe,,Madagascar
TLE,Toliara Airport,Toliara,,Madagascar
SSY,Mbanza Congo Airport,M'banza-congo,,Angola
BUG,Benguela Airport,Benguela,,Angola
CAB,Cabinda Airport,Cabinda,,Angola
NOV,Nova Lisboa Airport,Huambo,,Angola
SVP,Kuito Airport,Kuito,,Angola
LAD,Quatro de Fevereiro Airport,Luanda,,Angola
MEG,Malanje Airport,Malanje,,Angola
SPP,Menongue Airport,Menongue,,Angola
GXG,Negage Airport,Negage,,Angola
PBN,Porto Amboim Airport,Porto Amboim,,Angola
VHC,Saurimo Airport,Saurimo,,Angola
SZA,Soyo Airport,Soyo,,Angola
SDD,Lubango Airport,Lubango,,Angola
LUO,Luena Airport,Luena,,Angola
UGO,Uige Airport,Uige,,Angola
XGN,Xangongo Airport,Xangongo,,Angola
OYE,Oyem Airport,Oyem,,Gabon
OKN,Okondja Airport,Okondja,,Gabon
LBQ,Lambarene Airport,Lambarene,,Gabon
BMM,Bitam Airport,Bitam,,Gabon
POG,Port Gentil Airport,Port Gentil,,Gabon
OMB,Omboue Hopital Airport,Omboue Hospial,,Gabon
MKU,Makokou Airport,Makokou,,Gabon
LBV,Libreville Leon M'ba International Airport,Libreville,,Gabon
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,,Gabon
PCP,Principe Airport,Principe,,Sao Tome and Principe
TMS,São Tomé International Airport,Sao Tome,,Sao Tome and Principe
BEW,Beira Airport,Beira,,Mozambique
INH,Inhambane Airport,Inhambane,,Mozambique
VXC,Lichinga Airport,Lichinga,,Mozambique
LFB,Lumbo Airport,Lumbo,,Mozambique
MPM,Maputo Airport,Maputo,,Mozambique
MUD,Mueda Airport,Mueda,,Mozambique
MZB,Mocímboa da Praia Airport,Mocimboa Da Praia,,Mozambique
MNC,Nacala Airport,Nacala,,Mozambique
APL,Nampula Airport,Nampula,,Mozambique
POL,Pemba Airport,Pemba,,Mozambique
UEL,Quelimane Airport,Quelimane,,Mozambique
TET,Chingozi Airport,Tete,,Mozambique
VNX,Vilankulo Airport,Vilankulu,,Mozambique
DES,Desroches Airport,Desroches,,Seychelles
SEZ,Seychelles International Airport,Mahe,,Seychelles
PRI,Praslin Airport,Praslin,,Seychelles
AEH,Abeche Airport,Abeche,,Chad
MQQ,Moundou Airport,Moundou,,Chad
NDJ,N'Djamena International Airport,N'djamena,,Chad
FYT,Faya Largeau Airport,Faya-largeau,,Chad
BUQ,Joshua Mqabuko Nkomo International Airport,Bulawayo,,Zimbabwe
BFO,Buffalo Range Airport,Chiredzi,,Zimbabwe
VFA,Victoria Falls International Airport,Victoria Falls,,Zimbabwe
HRE,Robert Gabriel Mugabe International Airport,Harare,,Zimbabwe
KAB,Kariba International Airport,Kariba,,Zimbabwe
UTA,Mutare Airport,Mutare,,Zimbabwe
MVZ,Masvingo International Airport,Masvingo,,Zimbabwe
GWE,Thornhill Air Base,Gwert,,Zimbabwe
HWN,Hwange National Park Airport,Hwange National Park,,Zimbabwe
BLZ,Chileka International Airport,Blantyre,,Malawi
KGJ,Karonga Airport,Karonga,,Malawi
KBQ,Kasungu Airport,Kasungu,,Malawi
LLW,Lilongwe International Airport,Lilongwe,,Malawi
ZZU,Mzuzu Airport,Mzuzu,,Malawi
MSU,Moshoeshoe I International Airport,Maseru,,Lesotho
FIH,Ndjili International Airport,Kinshasa,,Congo (Kinshasa)
NLO,Ndolo Airport,Kinshasa,,Congo (Kinshasa)
MNB,Muanda Airport,Muanda,,Congo (Kinshasa)
FDU,Bandundu Airport,Bandoundu,,Congo (Kinshasa)
KKW,Kikwit Airport,Kikwit,,Congo (Kinshasa)
MDK,Mbandaka Airport,Mbandaka,,Congo (Kinshasa)
BDT,Gbadolite Airport,Gbadolite,,Congo (Kinshasa)
GMA,Gemena Airport,Gemena,,Congo (Kinshasa)
KLI,Kotakoli Airport,Kotakoli,,Congo (Kinshasa)
LIQ,Lisala Airport,Lisala,,Congo (Kinshasa)
FKI,Bangoka International Airport,Kisangani,,Congo (Kinshasa)
IRP,Matari Airport,Isiro,,Congo (Kinshasa)
BUX,Bunia Airport,Bunia,,Congo (Kinshasa)
BZU,Buta Zega Airport,Buta Zega,,Congo (Kinshasa)
BKY,Bukavu Kavumu Airport,Bukavu/kavumu,,Congo (Kinshasa)
GOM,Goma International Airport,Goma,,Congo (Kinshasa)
KND,Kindu Airport,Kindu,,Congo (Kinshasa)
FBM,Lubumbashi International Airport,Lubumashi,,Congo (Kinshasa)
KWZ,Kolwezi Airport,Kolwezi,,Congo (Kinshasa)
FMI,Kalemie Airport,Kalemie,,Congo (Kinshasa)
KMN,Kamina Base Airport,Kamina Base,,Congo (Kinshasa)
KGA,Kananga Airport,Kananga,,Congo (Kinshasa)
MJM,Mbuji Mayi Airport,Mbuji-mayi,,Congo (Kinshasa)
BKO,Modibo Keita International Airport,Bamako,,Mali
GAQ,Gao Airport,Gao,,Mali
KYS,Kayes Dag Dag Airport,Kayes,,Mali
MZI,Mopti Airport,Mopti,,Mali
TOM,Timbuktu Airport,Tombouctou,,Mali
BJL,Banjul International Airport,Banjul,,Gambia
FUE,Fuerteventura Airport,Fuerteventura,,Spain
VDE,Hierro Airport,Hierro,,Spain
SPC,La Palma Airport,Santa Cruz De La Palma,,Spain
LPA,Gran Canaria Airport,Gran Canaria,,Spain
ACE,Lanzarote Airport,Arrecife,,Spain
TFS,Tenerife South Airport,Tenerife,,Spain
TFN,Tenerife Norte Airport,Tenerife,,Spain
MLN,Melilla Airport,Melilla,,Spain
FNA,Lungi International Airport,Freetown,,Sierra Leone
MLW,Spriggs Payne Airport,Monrovia,,Liberia
ROB,Roberts International Airport,Monrovia,,Liberia
AGA,Al Massira Airport,Agadir,,Morocco
TTA,Tan Tan Airport,Tan Tan,,Morocco
FEZ,Saïss Airport,Fes,,Morocco
ERH,Moulay Ali Cherif Airport,Er-rachidia,,Morocco
MEK,Bassatine Airport,Meknes,,Morocco
OUD,Angads Airport,Oujda,,Morocco
GMD,Ben Slimane Airport,Ben Slimane,,Morocco
RBA,Rabat-Salé Airport,Rabat,,Morocco
CMN,Mohammed V International Airport,Casablanca,,Morocco
RAK,Menara Airport,Marrakech,,Morocco
NNA,Kenitra Airport,Kentira,,Morocco
OZZ,Ouarzazate Airport,Ouarzazate,,Morocco
AHU,Cherif Al Idrissi Airport,Al Hociema,,Morocco
TTU,Saniat R'mel Airport,Tetouan,,Morocco
TNG,Ibn Batouta Airport,Tanger,,Morocco
ZIG,Ziguinchor Airport,Ziguinchor,,Senegal
CSK,Cap Skirring Airport,Cap Skiring,,Senegal
KLC,Kaolack Airport,Kaolack,,Senegal
DKR,Léopold Sédar Senghor International Airport,Dakar,,Senegal
XLS,Saint Louis Airport,St. Louis,,Senegal
BXE,Bakel Airport,Bakel,,Senegal
KGG,Kédougou Airport,Kedougou,,Senegal
TUD,Tambacounda Airport,Tambacounda,,Senegal
AEO,Aioun el Atrouss Airport,Aioun El Atrouss,,Mauritania
TIY,Tidjikja Airport,Tidjikja,,Mauritania
KFA,Kiffa Airport,Kiffa,,Mauritania
EMN,Néma Airport,Nema,,Mauritania
KED,Kaédi Airport,Kaedi,,Mauritania
NKC,Nouakchott–Oumtounsy International Airport,Nouakschott,,Mauritania
SEY,Sélibaby Airport,Selibabi,,Mauritania
ATR,Atar International Airport,Atar,,Mauritania
NDB,Nouadhibou International Airport,Nouadhibou,,Mauritania
FIG,Fria Airport,Fira,,Guinea
FAA,Faranah Airport,Faranah,,Guinea
LEK,Tata Airport,Labe,,Guinea
SID,Amílcar Cabral International Airport,Amilcar Cabral,,Cape Verde
BVC,Rabil Airport,Boa Vista,,Cape Verde
MMO,Maio Airport,Maio,,Cape Verde
SNE,Preguiça Airport,Sao Nocolau Island,,Cape Verde
VXE,São Pedro Airport,Sao Vicente Island,,Cape Verde
ADD,Addis Ababa Bole International Airport,Addis Ababa,,Ethiopia
AMH,Arba Minch Airport,Arba Minch,,Ethiopia
AXU,Axum Airport,Axum,,Ethiopia
BJR,Bahir Dar Airport,Bahar Dar,,Ethiopia
DIR,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,,Ethiopia
GMB,Gambella Airport,Gambella,,Ethiopia
GDQ,Gonder Airport,Gondar,,Ethiopia
JIM,Jimma Airport,Jimma,,Ethiopia
LLI,Lalibella Airport,Lalibella,,Ethiopia
MQX,Mekele Airport,Makale,,Ethiopia
ASO,Asosa Airport,Asosa,,Ethiopia
BJM,Bujumbura International Airport,Bujumbura,,Burundi
HGA,Egal International Airport,Hargeisa,,Somalia
BBO,Berbera Airport,Berbera,,Somalia
KMU,Kisimayu Airport,Kismayu,,Somalia
ALY,El Nouzha Airport,Alexandria,,Egypt
ABS,Abu Simbel Airport,Abu Simbel,,Egypt
CAI,Cairo International Airport,Cairo,,Egypt
CWE,Cairo West Airport,Cairo,,Egypt
HRG,Hurghada International Airport,Hurghada,,Egypt
EGH,El Gora Airport,El Gorah,,Egypt
LXR,Luxor International Airport,Luxor,,Egypt
MUH,Mersa Matruh Airport,Mersa-matruh,,Egypt
PSD,Port Said Airport,Port Said,,Egypt
SKV,St Catherine International Airport,St. Catherine,,Egypt
ASW,Aswan International Airport,Aswan,,Egypt
ELT,El Tor Airport,El-tor,,Egypt
EDL,Eldoret International Airport,Eldoret,,Kenya
GGM,Kakamega Airport,Kakamega,,Kenya
KIS,Kisumu Airport,Kisumu,,Kenya
KTL,Kitale Airport,Kitale,,Kenya
LOK,Lodwar Airport,Lodwar,,Kenya
LAU,Manda Airstrip,Lamu,,Kenya
MBA,Mombasa Moi International Airport,Mombasa,,Kenya
WIL,Nairobi Wilson Airport,Nairobi,,Kenya
WJR,Wajir Airport,Wajir,,Kenya
GHT,Ghat Airport,Ghat,,Libya
AKF,Kufra Airport,Kufra,,Libya
BEN,Benina International Airport,Benghazi,,Libya
SEB,Sabha Airport,Sebha,,Libya
TIP,Tripoli International Airport,Tripoli,,Libya
LMQ,Marsa Brega Airport,Marsa Brega,,Libya
HUQ,Hon Airport,Hon,,Libya
LTD,Ghadames East Airport,Ghadames,,Libya
GYI,Gisenyi Airport,Gisenyi,,Rwanda
KGL,Kigali International Airport,Kigali,,Rwanda
KME,Kamembe Airport,Kamembe,,Rwanda
DOG,Dongola Airport,Dongola,,Sudan
RSS,Damazin Airport,Damazin,,Sudan
ELF,El Fasher Airport,El Fasher,,Sudan
KSL,Kassala Airport,Kassala,,Sudan
KDX,Kadugli Airport,Kadugli,,Sudan
EBD,El Obeid Airport,El Obeid,,Sudan
JUB,Juba International Airport,Juba,,South Sudan
MAK,Malakal Airport,Malakal,,Sudan
KRT,Khartoum International Airport,Khartoum,,Sudan
ARK,Arusha Airport,Arusha,,Tanzania
DAR,Julius Nyerere International Airport,Dar Es Salaam,,Tanzania
DOD,Dodoma Airport,Dodoma,,Tanzania
IRI,Iringa Airport,Iringa,,Tanzania
JRO,Kilimanjaro International Airport,Kilimanjaro,,Tanzania
LKY,Lake Manyara Airport,Lake Manyara,,Tanzania
MYW,Mtwara Airport,Mtwara,,Tanzania
MWZ,Mwanza Airport,Mwanza,,Tanzania
PMA,Pemba Airport,Pemba,,Tanzania
TGT,Tanga Airport,Tanga,,Tanzania
ZNZ,Abeid Amani Karume International Airport,Zanzibar,,Tanzania
EBB,Entebbe International Airport,Entebbe,,Uganda
SRT,Soroti Airport,Soroti,,Uganda
TIA,Tirana International Airport Mother Teresa,Tirana,,Albania
BOJ,Burgas Airport,Bourgas,,Bulgaria
GOZ,Gorna Oryahovitsa Airport,Gorna Orechovica,,Bulgaria
PDV,Plovdiv International Airport,Plovdiv,,Bulgaria
SOF,Sofia Airport,Sofia,,Bulgaria
SZR,Stara Zagora Airport,Stara Zagora,,Bulgaria
VAR,Varna Airport,Varna,,Bulgaria
LCA,Larnaca International Airport,Larnaca,,Cyprus
PFO,Paphos International Airport,Paphos,,Cyprus
AKT,RAF Akrotiri,Akrotiri,,Cyprus
DBV,Dubrovnik Airport,Dubrovnik,,Croatia
OSI,Osijek Airport,Osijek,,Croatia
PUY,Pula Airport,Pula,,Croatia
RJK,Rijeka Airport,Rijeka,,Croatia
SPU,Split Airport,Split,,Croatia
ZAG,Zagreb Airport,Zagreb,,Croatia
ZAD,Zadar Airport,Zadar,,Croatia
ABC,Albacete-Los Llanos Airport,Albacete,,Spain
